,Hue,Sat,Val,Out
0,105.134875,85.44025,70.2982,520
1,100.73945,43.13195,135.96215,556
2,83.3706,18.6612,132.517275,518
3,30.25855,29.273375,135.2288,583
4,39.913375,20.798025,143.19785,629
5,21.558925,54.698125,144.38455,703
6,22.215675,86.5274,118.0344,754
7,19.222075,118.333,130.66535,786
8,22.4126,104.04435,162.063875,866
9,21.22655,153.253675,142.9754,954
10,26.11735,154.33635,85.756125,1009
11,85.72855,88.092325,139.461625,1020
12,124.7459,81.206125,74.15565,1020
13,119.17445,110.124175,25.069,1022
